id_cliente,zona,id_antena,tipo_conexion,id_ap,distancia_m,senal_dbm,perfil_uso,fecha_alta,estado,fecha_baja,motivo_baja,medio_pago,personas_hogar,dispositivos,equipamiento,precio_mensual,tiene_inalambrico,tiene_mediciones,antiguedad_dias
FBJ-0043,Paraje El Simbolar,B,Cable,,318,,Medio,2023-09-01,Activo,,,Transferencia,2,6,Propio,20000,0,1,1093
FBJ-0044,Barrio San Martín,B,Cable,,86,,Medio,2024-07-19,Activo,,,Transferencia,3,2,Propio,20000,0,1,771
FBJ-0045,Villa Ojo de Agua,B,Antena,AP-02,848,-81.7,Pesado,2023-07-11,Activo,,,Debito,3,1,Comodato,20000,1,1,1145
FBJ-0046,Villa Ojo de Agua,B,Antena,AP-01,177,-50.9,Pesado,2023-07-22,Activo,,,Efectivo,1,1,Propio,20000,1,1,1134
FBJ-0047,Barrio Belgrano,B,Antena,AP-02,453,-71.2,Medio,2023-08-19,Activo,,,Transferencia,3,1,Comodato,20000,1,1,1106
FBJ-0048,Villa Ojo de Agua,B,Antena,AP-01,721,-80.9,Liviano,2024-07-30,Activo,,,Transferencia,6,8,Propio,20000,1,1,760
FBJ-0049,Villa Ojo de Agua,B,Cable,,350,,Medio,2023-04-05,Activo,,,Transferencia,4,7,Propio,20000,0,1,1242
FBJ-0050,Barrio Belgrano,B,Antena,AP-02,277,-61.0,Liviano,2023-02-10,Activo,,,Debito,2,3,Propio,20000,1,1,1296
FBJ-0051,Paraje El Simbolar,B,Cable,,42,,Liviano,2023-09-15,Baja,2026-10-31,Mal_servicio,Transferencia,2,9,Propio,20000,0,1,1079
FBJ-0052,Barrio Belgrano,B,Cable,,288,,Liviano,2022-12-08,Activo,,,Efectivo,5,9,Propio,20000,0,1,1360
FBJ-0053,Paraje El Simbolar,B,Antena,AP-01,245,-55.9,Pesado,2023-12-21,Activo,,,Transferencia,5,8,Propio,20000,1,1,982
FBJ-0054,Barrio Belgrano,B,Antena,AP-02,302,-59.5,Medio,2024-01-13,Activo,,,Transferencia,1,7,Propio,20000,1,1,959
FBJ-0055,Barrio Norte,B,Antena,AP-01,805,-85.2,Medio,2024-04-22,Baja,2025-05-26,Mudanza,Transferencia,6,6,Comodato,20000,1,0,859
FBJ-0056,Barrio San Martín,B,Antena,AP-02,549,-70.0,Pesado,2023-05-23,Activo,,,Efectivo,2,6,Comodato,20000,1,1,1194
FBJ-0057,Paraje El Simbolar,B,Antena,AP-01,851,-81.4,Medio,2023-08-07,Activo,,,Transferencia,3,2,Propio,20000,1,1,1118
FBJ-0058,Paraje El Simbolar,B,Antena,AP-02,308,-59.0,Medio,2025-01-10,Activo,,,Efectivo,4,10,Propio,20000,1,1,596
FBJ-0059,Paraje El Simbolar,B,Cable,,107,,Liviano,2024-04-22,Activo,,,Transferencia,2,3,Propio,20000,0,1,859
FBJ-0060,Barrio Norte,B,Cable,,110,,Liviano,2024-04-16,Activo,,,Efectivo,4,6,Comodato,20000,0,1,865
