id_cliente,fecha,franja,id_antena,tipo_conexion,id_ap,distancia_m,senal_dbm,usuarios_conectados_antena,usuarios_activos_antena,demanda_mbps_antena,carga_antena_pct,consumo_gb_franja,horas_conexion,sesiones,cortes,minutos_sin_servicio,lluvia,es_fin_de_semana,es_feriado,velocidad_efectiva_mbps,tiene_inalambrico,velocidad_censurada,dia_semana,mes,franja_orden
FBJ-0057,2026-06-01,Mañana,B,Antena,AP-01,851,-81.4,14,7,60.0,15.0,5.779,2.75,8,0,0,0,0,0,21.46,1,0,0,2026-06,2
FBJ-0058,2026-06-01,Mañana,B,Antena,AP-02,308,-59.0,14,7,60.0,15.0,5.402,1.75,5,2,72,0,0,0,30.39,1,0,0,2026-06,2
FBJ-0001,2026-06-01,Tarde,A,Antena,AP-01,625,-74.5,14,9,107.7,26.9,4.33,2.41,5,0,0,0,0,0,17.06,1,0,0,2026-06,3
FBJ-0003,2026-06-01,Tarde,A,Antena,AP-02,392,-66.0,14,9,107.7,26.9,2.979,1.56,7,1,17,0,0,0,14.87,1,0,0,2026-06,3
FBJ-0007,2026-06-01,Tarde,A,Antena,AP-02,594,-68.6,14,9,107.7,26.9,3.677,1.48,5,2,38,0,0,0,18.56,1,0,0,2026-06,3
FBJ-0010,2026-06-01,Tarde,A,Antena,AP-01,482,-67.3,14,9,107.7,26.9,4.674,1.96,1,0,0,0,0,0,17.34,1,0,0,2026-06,3
FBJ-0013,2026-06-01,Tarde,A,Antena,AP-02,111,-56.0,14,9,107.7,26.9,8.36,2.19,8,2,20,0,0,0,35.0,1,1,0,2026-06,3
FBJ-0015,2026-06-01,Tarde,A,Antena,AP-02,894,-83.5,14,9,107.7,26.9,3.351,2.31,1,0,0,0,0,0,14.14,1,0,0,2026-06,3
FBJ-0021,2026-06-01,Tarde,A,Cable,,163,,14,9,107.7,26.9,5.337,1.65,6,0,0,0,0,0,35.0,0,1,0,2026-06,3
FBJ-0022,2026-06-01,Tarde,A,Antena,AP-02,838,-82.4,14,9,107.7,26.9,3.147,1.21,1,0,0,0,0,0,16.93,1,0,0,2026-06,3
FBJ-0023,2026-06-01,Tarde,A,Antena,AP-01,872,-78.5,14,9,107.7,26.9,1.209,0.92,2,1,18,0,0,0,15.79,1,0,0,2026-06,3
FBJ-0025,2026-06-01,Tarde,A,Antena,AP-01,575,-73.2,14,9,107.7,26.9,4.465,2.6,4,1,18,0,0,0,17.58,1,0,0,2026-06,3
FBJ-0026,2026-06-01,Tarde,A,Antena,AP-02,283,-64.0,14,9,107.7,26.9,2.383,1.13,2,0,0,0,0,0,23.68,1,0,0,2026-06,3
FBJ-0027,2026-06-01,Tarde,A,Cable,,85,,14,9,107.7,26.9,8.11,1.89,7,0,0,0,0,0,33.34,0,0,0,2026-06,3
FBJ-0031,2026-06-01,Tarde,B,Cable,,202,,13,11,89.5,22.4,1.22,0.34,8,0,0,0,0,0,32.77,0,0,0,2026-06,3
FBJ-0034,2026-06-01,Tarde,B,Antena,AP-02,604,-72.2,13,11,89.5,22.4,1.991,1.32,5,0,0,0,0,0,12.46,1,0,0,2026-06,3
FBJ-0037,2026-06-01,Tarde,B,Cable,,205,,13,11,89.5,22.4,7.028,2.0,7,1,34,0,0,0,30.61,0,0,0,2026-06,3
FBJ-0039,2026-06-01,Tarde,B,Cable,,288,,13,11,89.5,22.4,9.38,1.83,1,0,0,0,0,0,35.0,0,1,0,2026-06,3
FBJ-0040,2026-06-01,Tarde,B,Antena,AP-01,564,-73.1,13,11,89.5,22.4,6.903,2.77,4,0,0,0,0,0,24.36,1,0,0,2026-06,3
FBJ-0041,2026-06-01,Tarde,B,Antena,AP-02,509,-69.1,13,11,89.5,22.4,2.666,1.69,6,0,0,0,0,0,14.76,1,0,0,2026-06,3
FBJ-0042,2026-06-01,Tarde,B,Antena,AP-01,176,-53.0,13,11,89.5,22.4,7.444,1.61,7,0,0,0,0,0,35.0,1,1,0,2026-06,3
FBJ-0045,2026-06-01,Tarde,B,Antena,AP-02,848,-81.7,13,11,89.5,22.4,0.98,0.56,2,1,38,0,0,0,11.23,1,0,0,2026-06,3
FBJ-0049,2026-06-01,Tarde,B,Cable,,350,,13,11,89.5,22.4,9.748,1.79,7,0,0,0,0,0,34.67,0,0,0,2026-06,3
FBJ-0054,2026-06-01,Tarde,B,Antena,AP-02,302,-59.5,13,11,89.5,22.4,4.297,1.8,2,1,39,0,0,0,22.94,1,0,0,2026-06,3
FBJ-0058,2026-06-01,Tarde,B,Antena,AP-02,308,-59.0,13,11,89.5,22.4,4.175,1.11,1,0,0,0,0,0,27.66,1,0,0,2026-06,3
FBJ-0059,2026-06-01,Tarde,B,Cable,,107,,13,11,89.5,22.4,6.76,1.61,4,0,0,0,0,0,35.0,0,1,0,2026-06,3
FBJ-0060,2026-06-01,Tarde,B,Cable,,110,,13,11,89.5,22.4,8.784,2.1,3,0,0,0,0,0,35.0,0,1,0,2026-06,3
FBJ-0003,2026-06-01,Noche,A,Antena,AP-02,392,-66.0,18,13,120.8,30.2,4.978,3.23,2,0,0,0,0,0,14.89,1,0,0,2026-06,4
FBJ-0004,2026-06-01,Noche,A,Cable,,322,,18,13,120.8,30.2,11.272,2.86,2,1,32,0,0,0,33.86,0,0,0,2026-06,4
FBJ-0007,2026-06-01,Noche,A,Antena,AP-02,594,-68.6,18,13,120.8,30.2,4.02,1.8,2,0,0,0,0,0,20.83,1,0,0,2026-06,4
FBJ-0010,2026-06-01,Noche,A,Antena,AP-01,482,-67.3,18,13,120.8,30.2,7.728,3.38,4,0,0,0,0,0,16.59,1,0,0,2026-06,4
FBJ-0011,2026-06-01,Noche,A,Antena,AP-02,440,-67.1,18,13,120.8,30.2,4.271,2.21,6,0,0,0,0,0,18.94,1,0,0,2026-06,4
FBJ-0012,2026-06-01,Noche,A,Antena,AP-01,631,-74.1,18,13,120.8,30.2,0.574,0.33,1,0,0,0,0,0,14.59,1,0,0,2026-06,4
FBJ-0013,2026-06-01,Noche,A,Antena,AP-02,111,-56.0,18,13,120.8,30.2,5.169,2.3,4,0,0,0,0,0,25.6,1,0,0,2026-06,4
FBJ-0014,2026-06-01,Noche,A,Antena,AP-01,319,-62.5,18,13,120.8,30.2,6.614,2.76,8,0,0,0,0,0,17.69,1,0,0,2026-06,4
FBJ-0015,2026-06-01,Noche,A,Antena,AP-02,894,-83.5,18,13,120.8,30.2,8.605,3.65,7,3,93,0,0,0,19.38,1,0,0,2026-06,4
FBJ-0019,2026-06-01,Noche,A,Cable,,81,,18,13,120.8,30.2,5.882,1.5,6,0,0,0,0,0,33.81,0,0,0,2026-06,4
FBJ-0021,2026-06-01,Noche,A,Cable,,163,,18,13,120.8,30.2,5.438,2.27,2,0,0,0,0,0,22.91,0,0,0,2026-06,4
FBJ-0023,2026-06-01,Noche,A,Antena,AP-01,872,-78.5,18,13,120.8,30.2,5.11,2.48,1,0,0,0,0,0,17.44,1,0,0,2026-06,4
FBJ-0024,2026-06-01,Noche,A,Antena,AP-02,169,-58.3,18,13,120.8,30.2,5.569,2.53,6,0,0,0,0,0,20.69,1,0,0,2026-06,4
FBJ-0025,2026-06-01,Noche,A,Antena,AP-01,575,-73.2,18,13,120.8,30.2,4.029,2.63,2,0,0,0,0,0,13.07,1,0,0,2026-06,4
FBJ-0026,2026-06-01,Noche,A,Antena,AP-02,283,-64.0,18,13,120.8,30.2,5.681,2.63,7,0,0,0,0,0,20.66,1,0,0,2026-06,4
FBJ-0027,2026-06-01,Noche,A,Cable,,85,,18,13,120.8,30.2,11.301,2.45,4,0,0,0,0,0,35.0,0,1,0,2026-06,4
FBJ-0029,2026-06-01,Noche,A,Cable,,251,,18,13,120.8,30.2,11.571,3.32,3,0,0,0,0,0,28.57,0,0,0,2026-06,4
FBJ-0031,2026-06-01,Noche,B,Cable,,202,,16,11,138.8,34.7,8.488,3.16,7,0,0,0,0,0,32.56,0,0,0,2026-06,4
FBJ-0032,2026-06-01,Noche,B,Cable,,302,,16,11,138.8,34.7,14.605,3.09,1,0,0,0,0,0,35.0,0,1,0,2026-06,4
FBJ-0033,2026-06-01,Noche,B,Antena,AP-01,719,-77.6,16,11,138.8,34.7,7.588,3.46,1,0,0,0,0,0,13.48,1,0,0,2026-06,4
FBJ-0034,2026-06-01,Noche,B,Antena,AP-02,604,-72.2,16,11,138.8,34.7,2.91,1.15,3,0,0,0,0,0,19.42,1,0,0,2026-06,4
FBJ-0035,2026-06-01,Noche,B,Cable,,154,,16,11,138.8,34.7,8.79,2.14,3,0,0,0,0,0,30.4,0,0,0,2026-06,4
FBJ-0036,2026-06-01,Noche,B,Antena,AP-01,831,-77.3,16,11,138.8,34.7,4.127,2.13,6,1,14,0,0,0,18.69,1,0,0,2026-06,4
FBJ-0039,2026-06-01,Noche,B,Cable,,288,,16,11,138.8,34.7,11.1,2.91,6,0,0,0,0,0,32.19,0,0,0,2026-06,4
FBJ-0042,2026-06-01,Noche,B,Antena,AP-01,176,-53.0,16,11,138.8,34.7,13.014,3.12,3,0,0,0,0,0,26.69,1,0,0,2026-06,4
FBJ-0043,2026-06-01,Noche,B,Cable,,318,,16,11,138.8,34.7,11.272,2.32,1,0,0,0,0,0,33.56,0,0,0,2026-06,4
FBJ-0044,2026-06-01,Noche,B,Cable,,86,,16,11,138.8,34.7,4.849,1.41,3,0,0,0,0,0,28.05,0,0,0,2026-06,4
FBJ-0046,2026-06-01,Noche,B,Antena,AP-01,177,-50.9,16,11,138.8,34.7,8.873,1.65,6,0,0,0,0,0,35.0,1,1,0,2026-06,4
FBJ-0047,2026-06-01,Noche,B,Antena,AP-02,453,-71.2,16,11,138.8,34.7,7.236,2.76,1,0,0,0,0,0,20.54,1,0,0,2026-06,4
FBJ-0049,2026-06-01,Noche,B,Cable,,350,,16,11,138.8,34.7,8.721,1.93,8,0,0,0,0,0,35.0,0,1,0,2026-06,4
FBJ-0051,2026-06-01,Noche,B,Cable,,42,,16,11,138.8,34.7,11.951,2.93,2,0,0,0,0,0,35.0,0,1,0,2026-06,4
FBJ-0054,2026-06-01,Noche,B,Antena,AP-02,302,-59.5,16,11,138.8,34.7,5.832,1.82,8,0,0,0,0,0,23.09,1,0,0,2026-06,4
FBJ-0059,2026-06-01,Noche,B,Cable,,107,,16,11,138.8,34.7,10.251,2.75,2,0,0,0,0,0,28.38,0,0,0,2026-06,4
FBJ-0060,2026-06-01,Noche,B,Cable,,110,,16,11,138.8,34.7,13.365,3.22,3,0,0,0,0,0,34.63,0,0,0,2026-06,4
FBJ-0012,2026-06-02,Madrugada,A,Antena,AP-01,631,-74.1,1,1,6.7,1.7,4.162,1.99,7,0,0,0,0,0,21.42,1,0,1,2026-06,1
FBJ-0035,2026-06-02,Madrugada,B,Cable,,154,,4,2,13.9,3.5,3.205,0.66,7,0,0,0,0,0,35.0,0,1,1,2026-06,1
FBJ-0047,2026-06-02,Madrugada,B,Antena,AP-02,453,-71.2,4,2,13.9,3.5,2.886,1.79,3,0,0,0,0,0,14.92,1,0,1,2026-06,1
FBJ-0001,2026-06-02,Mañana,A,Antena,AP-01,625,-74.5,6,5,58.3,14.6,0.474,0.2,6,0,0,0,0,0,17.22,1,0,1,2026-06,2
FBJ-0007,2026-06-02,Mañana,A,Antena,AP-02,594,-68.6,6,5,58.3,14.6,1.824,1.41,5,0,0,0,0,0,12.08,1,0,1,2026-06,2
FBJ-0010,2026-06-02,Mañana,A,Antena,AP-01,482,-67.3,6,5,58.3,14.6,3.926,2.02,4,0,0,0,0,0,19.98,1,0,1,2026-06,2
FBJ-0012,2026-06-02,Mañana,A,Antena,AP-01,631,-74.1,6,5,58.3,14.6,2.322,1.05,8,0,0,0,0,0,17.97,1,0,1,2026-06,2
FBJ-0020,2026-06-02,Mañana,A,Antena,AP-01,244,-60.1,6,5,58.3,14.6,0.793,0.25,1,0,0,0,0,0,24.93,1,0,1,2026-06,2
FBJ-0021,2026-06-02,Mañana,A,Cable,,163,,6,5,58.3,14.6,7.513,2.11,5,0,0,0,0,0,35.0,0,1,1,2026-06,2
FBJ-0024,2026-06-02,Mañana,A,Antena,AP-02,169,-58.3,6,5,58.3,14.6,3.076,1.13,4,0,0,0,0,0,21.88,1,0,1,2026-06,2
FBJ-0025,2026-06-02,Mañana,A,Antena,AP-01,575,-73.2,6,5,58.3,14.6,0.532,0.34,8,1,34,0,0,0,13.85,1,0,1,2026-06,2
FBJ-0026,2026-06-02,Mañana,A,Antena,AP-02,283,-64.0,6,5,58.3,14.6,0.964,0.36,3,0,0,0,0,0,21.72,1,0,1,2026-06,2
FBJ-0032,2026-06-02,Mañana,B,Cable,,302,,12,9,54.7,13.7,5.791,1.43,5,0,0,0,0,0,31.9,0,0,1,2026-06,2
FBJ-0033,2026-06-02,Mañana,B,Antena,AP-01,719,-77.6,12,9,54.7,13.7,3.283,1.43,1,0,0,0,0,0,18.9,1,0,1,2026-06,2
FBJ-0035,2026-06-02,Mañana,B,Cable,,154,,12,9,54.7,13.7,9.274,2.7,1,0,0,0,0,0,30.36,0,0,1,2026-06,2
FBJ-0037,2026-06-02,Mañana,B,Cable,,205,,12,9,54.7,13.7,5.318,1.74,4,0,0,0,0,0,31.4,0,0,1,2026-06,2
FBJ-0039,2026-06-02,Mañana,B,Cable,,288,,12,9,54.7,13.7,11.052,2.28,4,0,0,0,0,0,35.0,0,1,1,2026-06,2
FBJ-0044,2026-06-02,Mañana,B,Cable,,86,,12,9,54.7,13.7,3.066,0.62,3,0,0,0,0,0,35.0,0,1,1,2026-06,2
FBJ-0047,2026-06-02,Mañana,B,Antena,AP-02,453,-71.2,12,9,54.7,13.7,4.909,1.59,1,0,0,0,0,0,22.64,1,0,1,2026-06,2
FBJ-0049,2026-06-02,Mañana,B,Cable,,350,,12,9,54.7,13.7,4.385,1.05,3,0,0,0,0,0,35.0,0,1,1,2026-06,2
FBJ-0052,2026-06-02,Mañana,B,Cable,,288,,12,9,54.7,13.7,8.299,2.52,5,0,0,0,0,0,33.5,0,0,1,2026-06,2
FBJ-0053,2026-06-02,Mañana,B,Antena,AP-01,245,-55.9,12,9,54.7,13.7,9.391,2.3,3,0,0,0,0,0,27.62,1,0,1,2026-06,2
FBJ-0054,2026-06-02,Mañana,B,Antena,AP-02,302,-59.5,12,9,54.7,13.7,2.425,0.63,3,0,0,0,0,0,26.42,1,0,1,2026-06,2
FBJ-0056,2026-06-02,Mañana,B,Antena,AP-02,549,-70.0,12,9,54.7,13.7,1.451,0.74,5,1,38,0,0,0,17.69,1,0,1,2026-06,2
FBJ-0058,2026-06-02,Mañana,B,Antena,AP-02,308,-59.0,12,9,54.7,13.7,2.746,1.18,2,1,28,0,0,0,18.87,1,0,1,2026-06,2
FBJ-0059,2026-06-02,Mañana,B,Cable,,107,,12,9,54.7,13.7,6.344,1.48,8,1,15,0,0,0,34.79,0,0,1,2026-06,2
FBJ-0001,2026-06-02,Tarde,A,Antena,AP-01,625,-74.5,11,7,62.1,15.5,2.697,1.52,1,0,0,0,0,0,16.26,1,0,1,2026-06,3
FBJ-0004,2026-06-02,Tarde,A,Cable,,322,,11,7,62.1,15.5,5.457,1.46,3,0,0,0,0,0,32.58,0,0,1,2026-06,3
FBJ-0010,2026-06-02,Tarde,A,Antena,AP-01,482,-67.3,11,7,62.1,15.5,5.235,2.3,8,0,0,0,0,0,22.29,1,0,1,2026-06,3
FBJ-0011,2026-06-02,Tarde,A,Antena,AP-02,440,-67.1,11,7,62.1,15.5,0.778,0.36,5,0,0,0,0,0,16.79,1,0,1,2026-06,3
FBJ-0015,2026-06-02,Tarde,A,Antena,AP-02,894,-83.5,11,7,62.1,15.5,4.27,1.59,5,2,6,0,0,0,24.79,1,0,1,2026-06,3
FBJ-0018,2026-06-02,Tarde,A,Cable,,281,,11,7,62.1,15.5,5.488,1.37,2,1,6,0,0,0,28.12,0,0,1,2026-06,3
FBJ-0019,2026-06-02,Tarde,A,Cable,,81,,11,7,62.1,15.5,5.958,2.06,2,0,0,0,0,0,27.16,0,0,1,2026-06,3
FBJ-0021,2026-06-02,Tarde,A,Cable,,163,,11,7,62.1,15.5,5.306,1.34,1,0,0,0,0,0,33.97,0,0,1,2026-06,3
FBJ-0022,2026-06-02,Tarde,A,Antena,AP-02,838,-82.4,11,7,62.1,15.5,6.448,2.16,4,1,25,0,0,0,18.84,1,0,1,2026-06,3
FBJ-0023,2026-06-02,Tarde,A,Antena,AP-01,872,-78.5,11,7,62.1,15.5,3.163,1.95,8,0,0,0,0,0,18.52,1,0,1,2026-06,3
FBJ-0026,2026-06-02,Tarde,A,Antena,AP-02,283,-64.0,11,7,62.1,15.5,4.9,1.49,7,0,0,0,0,0,24.93,1,0,1,2026-06,3
FBJ-0027,2026-06-02,Tarde,A,Cable,,85,,11,7,62.1,15.5,7.67,1.41,2,0,0,0,0,0,34.38,0,0,1,2026-06,3
FBJ-0029,2026-06-02,Tarde,A,Cable,,251,,11,7,62.1,15.5,6.504,2.08,2,1,15,0,0,0,35.0,0,1,1,2026-06,3
FBJ-0030,2026-06-02,Tarde,A,Antena,AP-02,116,-54.6,11,7,62.1,15.5,8.198,2.05,2,1,29,0,0,0,31.91,1,0,1,2026-06,3
FBJ-0031,2026-06-02,Tarde,B,Cable,,202,,17,12,87.4,21.8,0.608,0.2,7,0,0,0,0,0,28.41,0,0,1,2026-06,3
FBJ-0036,2026-06-02,Tarde,B,Antena,AP-01,831,-77.3,17,12,87.4,21.8,4.079,1.44,4,0,0,0,0,0,20.66,1,0,1,2026-06,3
FBJ-0037,2026-06-02,Tarde,B,Cable,,205,,17,12,87.4,21.8,5.717,1.69,6,0,0,0,0,0,35.0,0,1,1,2026-06,3
FBJ-0039,2026-06-02,Tarde,B,Cable,,288,,17,12,87.4,21.8,6.365,2.43,3,0,0,0,0,0,26.17,0,0,1,2026-06,3
FBJ-0041,2026-06-02,Tarde,B,Antena,AP-02,509,-69.1,17,12,87.4,21.8,3.735,1.46,6,0,0,0,0,0,15.77,1,0,1,2026-06,3
FBJ-0043,2026-06-02,Tarde,B,Cable,,318,,17,12,87.4,21.8,4.3,1.27,1,0,0,0,0,0,25.09,0,0,1,2026-06,3
FBJ-0044,2026-06-02,Tarde,B,Cable,,86,,17,12,87.4,21.8,8.503,1.86,8,0,0,0,0,0,35.0,0,1,1,2026-06,3
FBJ-0047,2026-06-02,Tarde,B,Antena,AP-02,453,-71.2,17,12,87.4,21.8,6.171,2.5,7,0,0,0,0,0,20.32,1,0,1,2026-06,3
FBJ-0048,2026-06-02,Tarde,B,Antena,AP-01,721,-80.9,17,12,87.4,21.8,6.376,2.18,8,1,8,0,0,0,25.68,1,0,1,2026-06,3
FBJ-0050,2026-06-02,Tarde,B,Antena,AP-02,277,-61.0,17,12,87.4,21.8,4.143,1.15,1,1,6,0,0,0,27.07,1,0,1,2026-06,3
FBJ-0058,2026-06-02,Tarde,B,Antena,AP-02,308,-59.0,17,12,87.4,21.8,3.685,1.87,1,0,0,0,0,0,18.24,1,0,1,2026-06,3
FBJ-0060,2026-06-02,Tarde,B,Cable,,110,,17,12,87.4,21.8,1.76,0.59,7,0,0,0,0,0,30.54,0,0,1,2026-06,3
FBJ-0001,2026-06-02,Noche,A,Antena,AP-01,625,-74.5,14,11,71.5,17.9,5.666,3.16,4,1,10,0,0,0,16.77,1,0,1,2026-06,4
FBJ-0003,2026-06-02,Noche,A,Antena,AP-02,392,-66.0,14,11,71.5,17.9,9.669,3.13,4,0,0,0,0,0,19.13,1,0,1,2026-06,4
FBJ-0004,2026-06-02,Noche,A,Cable,,322,,14,11,71.5,17.9,8.168,2.18,1,0,0,0,0,0,35.0,0,1,1,2026-06,4
FBJ-0005,2026-06-02,Noche,A,Cable,,179,,14,11,71.5,17.9,10.367,2.75,7,0,0,0,0,0,33.5,0,0,1,2026-06,4
FBJ-0009,2026-06-02,Noche,A,Antena,AP-02,565,-72.0,14,11,71.5,17.9,5.628,2.99,8,0,0,0,0,0,13.03,1,0,1,2026-06,4
FBJ-0013,2026-06-02,Noche,A,Antena,AP-02,111,-56.0,14,11,71.5,17.9,7.294,2.71,7,0,0,0,0,0,25.81,1,0,1,2026-06,4
FBJ-0014,2026-06-02,Noche,A,Antena,AP-01,319,-62.5,14,11,71.5,17.9,7.759,2.35,3,0,0,0,0,0,25.88,1,0,1,2026-06,4
FBJ-0015,2026-06-02,Noche,A,Antena,AP-02,894,-83.5,14,11,71.5,17.9,6.894,3.08,4,0,0,0,0,0,17.62,1,0,1,2026-06,4
FBJ-0019,2026-06-02,Noche,A,Cable,,81,,14,11,71.5,17.9,13.793,2.84,5,0,0,0,0,0,35.0,0,1,1,2026-06,4
FBJ-0020,2026-06-02,Noche,A,Antena,AP-01,244,-60.1,14,11,71.5,17.9,7.328,3.27,8,0,0,0,0,0,18.71,1,0,1,2026-06,4
FBJ-0021,2026-06-02,Noche,A,Cable,,163,,14,11,71.5,17.9,9.183,2.54,5,0,0,0,0,0,35.0,0,1,1,2026-06,4
FBJ-0024,2026-06-02,Noche,A,Antena,AP-02,169,-58.3,14,11,71.5,17.9,5.411,1.98,4,0,0,0,0,0,24.44,1,0,1,2026-06,4
FBJ-0025,2026-06-02,Noche,A,Antena,AP-01,575,-73.2,14,11,71.5,17.9,5.966,3.56,4,0,0,0,0,0,17.42,1,0,1,2026-06,4
FBJ-0027,2026-06-02,Noche,A,Cable,,85,,14,11,71.5,17.9,17.718,3.43,7,0,0,0,0,0,35.0,0,1,1,2026-06,4
FBJ-0029,2026-06-02,Noche,A,Cable,,251,,14,11,71.5,17.9,15.071,3.2,3,0,0,0,0,0,34.85,0,0,1,2026-06,4
FBJ-0031,2026-06-02,Noche,B,Cable,,202,,18,13,90.4,22.6,8.396,2.81,2,0,0,0,0,0,30.27,0,0,1,2026-06,4
FBJ-0033,2026-06-02,Noche,B,Antena,AP-01,719,-77.6,18,13,90.4,22.6,7.393,2.6,7,1,5,0,0,0,16.88,1,0,1,2026-06,4
FBJ-0034,2026-06-02,Noche,B,Antena,AP-02,604,-72.2,18,13,90.4,22.6,5.893,2.39,2,0,0,0,0,0,15.7,1,0,1,2026-06,4
FBJ-0035,2026-06-02,Noche,B,Cable,,154,,18,13,90.4,22.6,5.172,1.91,1,0,0,0,0,0,28.1,0,0,1,2026-06,4
FBJ-0037,2026-06-02,Noche,B,Cable,,205,,18,13,90.4,22.6,6.306,1.94,6,0,0,0,0,0,29.95,0,0,1,2026-06,4
FBJ-0039,2026-06-02,Noche,B,Cable,,288,,18,13,90.4,22.6,14.044,3.5,3,0,0,0,0,0,31.58,0,0,1,2026-06,4
FBJ-0041,2026-06-02,Noche,B,Antena,AP-02,509,-69.1,18,13,90.4,22.6,2.33,1.36,1,0,0,0,0,0,15.57,1,0,1,2026-06,4
FBJ-0042,2026-06-02,Noche,B,Antena,AP-01,176,-53.0,18,13,90.4,22.6,4.675,1.68,4,0,0,0,0,0,18.67,1,0,1,2026-06,4
FBJ-0046,2026-06-02,Noche,B,Antena,AP-01,177,-50.9,18,13,90.4,22.6,4.966,1.62,7,0,0,0,0,0,28.62,1,0,1,2026-06,4
FBJ-0047,2026-06-02,Noche,B,Antena,AP-02,453,-71.2,18,13,90.4,22.6,3.72,2.61,8,0,0,0,0,0,11.13,1,0,1,2026-06,4
FBJ-0048,2026-06-02,Noche,B,Antena,AP-01,721,-80.9,18,13,90.4,22.6,3.332,2.45,8,0,0,0,0,0,13.79,1,0,1,2026-06,4
FBJ-0049,2026-06-02,Noche,B,Cable,,350,,18,13,90.4,22.6,6.189,1.19,2,1,11,0,0,0,35.0,0,1,1,2026-06,4
